"Category","Metric","Year 1 / 2026","Year 2 / 2027","Year 3 / 2028"
"Year","Year Number","1","2","3"
"Year","Calendar Year","2026","2027","2028"
"Decisions","Rate Change","0","0","0"
"Decisions","Funding Confidence Level","0.75","0.75","0.75"
"Decisions","Selected CLF","1.346","1.346","1.346"
"Decisions","Dividend %","0","0","0"
"Decisions","Assessment %","0","0","0"
"Decisions","Underwriting Strictness","5","5","5"
"Decisions","Risk Control %","0","0","0"
"Decisions","Reinsurance Level","2","2","2"
"Decisions","Asset Allocation","Cash 10% / Bonds 80% / Equities 10%","Cash 10% / Bonds 80% / Equities 10%","Cash 10% / Bonds 80% / Equities 10%"
"Membership","Active Members","33","35","35"
"Membership","New Members","3","3","2"
"Membership","Withdrawn Members","1","1","2"
"Membership","Member Retention Rate","0.968","0.97","0.943"
"Membership","Member Satisfaction","7.1","7.1","7.1"
"Membership","Average Risk Quality","5.6","5.6","5.5"
"Membership","Active Payroll Exposure ($M)","67.54","75.46","82.29"
"Membership","Total Market Payroll ($M)","271.96","271.96","271.96"
"Membership","Market Share","0.24834534490366234","0.2774672745992058","0.30258126195028684"
"Rate and Premium","Rate Level Index","100","100","100"
"Rate and Premium","Pure Premium Rate per $100 Payroll","1.1247","1.1872","1.2533"
"Rate and Premium","Pool Premium Rate at Selected CLF","1.5138058729120414","1.5980166970161769","1.6869120470712218"
"Rate and Premium","Gross Premium & Admin Expense Rate per $100","2.235","2.3594","2.4906"
"Rate and Premium","Written Payroll ($M)","67.54","75.46","82.29"
"Rate and Premium","Pure Premium","759602","895887","1031322"
"Rate and Premium","Pool Premium at Selected CLF","1022424","1205863","1388160"
"Rate and Premium","Admin Expense","113940","134383","154698"
"Rate and Premium","Gross Premium & Admin Expense","1509550","1780387","2049537"
"Rate and Premium","Assessments","0","0","0"
"Rate and Premium","Dividends / Returned Pool Premium","0","0","0"
"Losses","Pure Premium","759602","895887","1031322"
"Losses","Pool Premium at Selected CLF","1022424","1205863","1388160"
"Losses","Member-Level Simulated Loss incl. Shared Events","1303142","864885","730681"
"Losses","Shared Annual Loss Factor","1.372454361221214","1.2306491311831955","0.6776919118144195"
"Losses","Catastrophe Factor","1","1","1"
"Losses","Shock Uplift (included in simulated loss)","0","0","0"
"Losses","Gross Ultimate Loss + LAE","1303142","864885","730681"
"Losses","Shock Loss Incurred","No","No","No"
"Losses","Reinsurance Recovery","265229","0","0"
"Losses","Net Ultimate Loss + LAE","1037912","864885","730681"
"Expenses and Income","Operating Expense","113940","134383","154698"
"Expenses and Income","Risk Control Investment","0","0","0"
"Expenses and Income","Reinsurance Cost","383409","452199","520560"
"Expenses and Income","Invested Assets","8554230","10820966","11321424"
"Expenses and Income","Investment Return Rate","0.029846044611871386","0.02667249985579053","0.027616823897519745"
"Expenses and Income","Investment Income","255310","288622","312662"
"Expenses and Income","Net Income","183344","659794","1009305"
"Reserves","Prior-Year Development","-47755","43340","55155"
"Reserves","Beginning Gross Reserve","1732223","1938871","1751026"
"Reserves","Current-Year Gross Reserve","781885","518931","438409"
"Reserves","Gross Paid Losses","1144249","1009390","885827"
"Reserves","Ending Gross Reserve","1938871","1751026","1540724"
"Reserves","Beginning RI Recoverable","54449","195505","126370"
"Reserves","Ending RI Recoverable","195505","126370","80769"
"Reserves","Expected Net Unpaid Loss","1743366","1624655","1459955"
"Reserves","Indicated Net Reserve at Confidence","2346570","2186786","1965099"
"Reserves","Reserve Risk Margin Needed","1657941","1545047","1388417"
"Balance Sheet and Surplus","Beginning Cash","2244234","226432","267058"
"Balance Sheet and Surplus","Ending Cash","226432","267058","307430"
"Balance Sheet and Surplus","Beginning Investments","8554230","10820966","11321424"
"Balance Sheet and Surplus","Ending Investments","10820966","11321424","12125656"
"Balance Sheet and Surplus","Other Assets","286914","286914","286914"
"Balance Sheet and Surplus","Total Assets","11529818","12001766","12800770"
"Balance Sheet and Surplus","Unearned Premium","0","0","0"
"Balance Sheet and Surplus","Other Liabilities","132142","132142","132142"
"Balance Sheet and Surplus","Total Liabilities","2071012","1883167","1672866"
"Balance Sheet and Surplus","Beginning Surplus","9275461","9458805","10118599"
"Balance Sheet and Surplus","Surplus from Income","9458805","10118599","11127904"
"Balance Sheet and Surplus","Ending Surplus","9458805","10118599","11127904"
"Balance Sheet and Surplus","Surplus Tie-Out Difference","0","0","0"
"Inter-Line Loan","Loan Originated This Year","0","0","0"
"Inter-Line Loan","Loan Interest Accrued","0","0","0"
"Inter-Line Loan","Loan Repayment Applied","0","0","0"
"Inter-Line Loan","Outstanding Loan Balance","0","0","0"
"Ratios and Capital","Expected Loss Ratio","0.6684491978609626","0.6684491978609626","0.6684491978609625"
"Ratios and Capital","Expected Expense Ratio","0.3315508021390374","0.3315508021390374","0.33155080213903754"
"Ratios and Capital","Expected Combined Ratio","1","1","1"
"Ratios and Capital","Actual Loss Ratio","0.7182049729409973","0.462053256826322","0.3306285112436552"
"Ratios and Capital","Actual Expense Ratio","0.32946877405914593","0.3294687740591459","0.3294687740591459"
"Ratios and Capital","Actual Combined Ratio","1.0476737470001432","0.7915220308854678","0.6600972853028011"
"Ratios and Capital","Surplus","9458805","10118599","11127904"
"Ratios and Capital","Excess Available Surplus","7800865","8573552","9739487"
"Ratios and Capital","Excess Capital Ratio","4.705152745973479","5.5490554598581365","7.014814135989873"
"Ratios and Capital","Excess Capital Status","Strong","Strong","Strong"
