"Category","Metric","Year 1 / 2026","Year 2 / 2027","Year 3 / 2028"
"Year","Year Number","1","2","3"
"Year","Calendar Year","2026","2027","2028"
"Decisions","Rate Change","0","0","0"
"Decisions","Funding Confidence Level","0.75","0.75","0.75"
"Decisions","Selected CLF","1.346","1.346","1.346"
"Decisions","Dividend %","0","0","0"
"Decisions","Assessment %","0","0","0"
"Decisions","Underwriting Strictness","5","5","5"
"Decisions","Risk Control %","0","0","0"
"Decisions","Reinsurance Level","2","2","2"
"Decisions","Asset Allocation","Cash 10% / Bonds 80% / Equities 10%","Cash 10% / Bonds 80% / Equities 10%","Cash 10% / Bonds 80% / Equities 10%"
"Membership","Active Members","93","94","93"
"Membership","New Members","3","5","5"
"Membership","Withdrawn Members","3","4","6"
"Membership","Member Retention Rate","0.968","0.957","0.936"
"Membership","Member Satisfaction","7.1","7.1","7.1"
"Membership","Average Risk Quality","5.634408602150538","5.603191489361703","5.568817204301075"
"Membership","Active Payroll Exposure ($M)","598.37","604.51","579.79"
"Membership","Total Market Payroll ($M)","2503.7599999999998","2503.7599999999998","2503.7599999999998"
"Membership","Market Share","0.2389885612039493","0.24144087292711763","0.23156772214589258"
"Rate and Premium","Rate Level Index","100","100","100"
"Rate and Premium","Pure Premium Rate per $100 Payroll","7.9555","8.398","8.8652"
"Rate and Premium","Pool Premium Rate at Selected CLF","1.3924355713280046","1.4537841977488448","1.6525798690067268"
"Rate and Premium","Gross Premium & Admin Expense Rate per $100","15.8098","16.6893","17.6177"
"Rate and Premium","Written Payroll ($M)","598.37","604.51","579.79"
"Rate and Premium","Pure Premium","6190131","6529176","7118494"
"Rate and Premium","Pool Premium at Selected CLF","8331917","8788271","9581493"
"Rate and Premium","Admin Expense","928520","979376","1067774"
"Rate and Premium","Gross Premium & Admin Expense","12301586","12975366","14146512"
"Rate and Premium","Assessments","0","0","0"
"Rate and Premium","Dividends / Returned Pool Premium","0","0","0"
"Losses","Pure Premium","6190131","6529176","7118494"
"Losses","Pool Premium at Selected CLF","8331917","8788271","9581493"
"Losses","Member-Level Simulated Loss incl. Shared Events","5502914","6072180","6474346"
"Losses","Shared Annual Loss Factor","1.1085076232353799","1.1073597247117375","0.8687863188985855"
"Losses","Catastrophe Factor","1","1","1"
"Losses","Shock Uplift (included in simulated loss)","0","0","0"
"Losses","Gross Ultimate Loss + LAE","5502914","6072180","6474346"
"Losses","Shock Loss Incurred","No","No","No"
"Losses","Reinsurance Recovery","360372","0","0"
"Losses","Net Ultimate Loss + LAE","5142542","6072180","6474346"
"Expenses and Income","Operating Expense","928520","979376","1067774"
"Expenses and Income","Risk Control Investment","0","0","0"
"Expenses and Income","Reinsurance Cost","3124469","3295602","3593060"
"Expenses and Income","Invested Assets","8554230","12117224","15499758"
"Expenses and Income","Investment Return Rate","0.029846044611871386","0.02667249985579053","0.027616823897519745"
"Expenses and Income","Investment Income","255310","323197","428054"
"Expenses and Income","Net Income","3154059","3049621","3486770"
"Reserves","Prior-Year Development","-226868","83696","56572"
"Reserves","Beginning Gross Reserve","9326075","9268169","9443292"
"Reserves","Current-Year Gross Reserve","3301748","3643308","3884607"
"Reserves","Gross Paid Losses","5787687","5813362","6038050"
"Reserves","Ending Gross Reserve","9268169","9443292","9823016"
"Reserves","Beginning RI Recoverable","827115","759270","500413"
"Reserves","Ending RI Recoverable","759270","500413","318360"
"Reserves","Expected Net Unpaid Loss","8508900","8942879","9504655"
"Reserves","Indicated Net Reserve at Confidence","11452979","12037115","12793266"
"Reserves","Reserve Risk Margin Needed","8091964","8504678","9038927"
"Balance Sheet and Surplus","Beginning Cash","2244234","1845238","1946305"
"Balance Sheet and Surplus","Ending Cash","1845238","1946305","2121977"
"Balance Sheet and Surplus","Beginning Investments","8554230","12117224","15499758"
"Balance Sheet and Surplus","Ending Investments","12117224","15499758","19372631"
"Balance Sheet and Surplus","Other Assets","286914","286914","286914"
"Balance Sheet and Surplus","Total Assets","15008645","18233389","22099882"
"Balance Sheet and Surplus","Unearned Premium","0","0","0"
"Balance Sheet and Surplus","Other Liabilities","132142","132142","132142"
"Balance Sheet and Surplus","Total Liabilities","9400311","9575434","9955157"
"Balance Sheet and Surplus","Beginning Surplus","2454276","5608334","8657956"
"Balance Sheet and Surplus","Surplus from Income","5608334","8657956","12144725"
"Balance Sheet and Surplus","Ending Surplus","5608334","8657956","12144725"
"Balance Sheet and Surplus","Surplus Tie-Out Difference","0","0","0"
"Inter-Line Loan","Loan Originated This Year","0","0","0"
"Inter-Line Loan","Loan Interest Accrued","0","0","0"
"Inter-Line Loan","Loan Repayment Applied","0","0","0"
"Inter-Line Loan","Outstanding Loan Balance","0","0","0"
"Ratios and Capital","Expected Loss Ratio","0.6684491978609626","0.6684491978609624","0.6684491978609626"
"Ratios and Capital","Expected Expense Ratio","0.3315508021390374","0.33155080213903765","0.3315508021390374"
"Ratios and Capital","Expected Combined Ratio","1","1","1"
"Ratios and Capital","Actual Loss Ratio","0.43489098445397123","0.4604080865173088","0.4543142874220755"
"Ratios and Capital","Actual Expense Ratio","0.3294687740591459","0.3294687740591458","0.3294687740591459"
"Ratios and Capital","Actual Combined Ratio","0.7643597585131171","0.7898768605764546","0.7837830614812213"
"Ratios and Capital","Surplus","5608334","8657956","12144725"
"Ratios and Capital","Excess Available Surplus","-2483629","153277","3105798"
"Ratios and Capital","Excess Capital Ratio","-0.30692542546205903","0.018022711537275207","0.34360250091730854"
"Ratios and Capital","Excess Capital Status","Deficient","Adequate","Strong"
