"Category","Metric","Year 1 / 2026","Year 2 / 2027","Year 3 / 2028"
"Year","Year Number","1","2","3"
"Year","Calendar Year","2026","2027","2028"
"Decisions","Rate Change","0","0","0"
"Decisions","Funding Confidence Level","0.75","0.75","0.75"
"Decisions","Selected CLF","1.346","1.346","1.346"
"Decisions","Dividend %","0","0","0"
"Decisions","Assessment %","0","0","0"
"Decisions","Underwriting Strictness","5","5","5"
"Decisions","Risk Control %","0","0","0"
"Decisions","Reinsurance Level","2","2","2"
"Decisions","Asset Allocation","Cash 10% / Bonds 80% / Equities 10%","Cash 10% / Bonds 80% / Equities 10%","Cash 10% / Bonds 80% / Equities 10%"
"Membership","Active Members","63","64","64"
"Membership","New Members","3","3","4"
"Membership","Withdrawn Members","2","2","4"
"Membership","Member Retention Rate","0.968","0.968","0.938"
"Membership","Member Satisfaction","7.1","7.1","7.1"
"Membership","Average Risk Quality","5.650793650793651","5.6515625","5.551562499999999"
"Membership","Active Payroll Exposure ($M)","137.79000000000002","143.56","151.61"
"Membership","Total Market Payroll ($M)","543.92","543.92","543.92"
"Membership","Market Share","0.25332769524930143","0.2639358729224886","0.2787358435063981"
"Rate and Premium","Rate Level Index","100","100","100"
"Rate and Premium","Pure Premium Rate per $100 Payroll","7.9555","8.398","8.8652"
"Rate and Premium","Pool Premium Rate at Selected CLF","5.5120563044391035","5.5794103509546344","5.824084456391585"
"Rate and Premium","Gross Premium & Admin Expense Rate per $100","15.8098","16.6893","17.6177"
"Rate and Premium","Written Payroll ($M)","137.79000000000002","143.56","151.61"
"Rate and Premium","Pure Premium","5642691","5950818","6560100"
"Rate and Premium","Pool Premium at Selected CLF","7595062","8009801","8829894"
"Rate and Premium","Admin Expense","846404","892623","984015"
"Rate and Premium","Gross Premium & Admin Expense","11213664","11826002","13036821"
"Rate and Premium","Assessments","0","0","0"
"Rate and Premium","Dividends / Returned Pool Premium","0","0","0"
"Losses","Pure Premium","5642691","5950818","6560100"
"Losses","Pool Premium at Selected CLF","7595062","8009801","8829894"
"Losses","Member-Level Simulated Loss incl. Shared Events","5001043","5495406","6025155"
"Losses","Shared Annual Loss Factor","1.238702373877127","1.170480370297434","0.841846483201276"
"Losses","Catastrophe Factor","1","1","1"
"Losses","Shock Uplift (included in simulated loss)","0","0","0"
"Losses","Gross Ultimate Loss + LAE","5001043","5495406","6025155"
"Losses","Shock Loss Incurred","No","No","No"
"Losses","Reinsurance Recovery","360372","0","0"
"Losses","Net Ultimate Loss + LAE","4640671","5495406","6025155"
"Expenses and Income","Operating Expense","846404","892623","984015"
"Expenses and Income","Risk Control Investment","0","0","0"
"Expenses and Income","Reinsurance Cost","2848148","3003676","3311210"
"Expenses and Income","Invested Assets","8554230","12262356","15480643"
"Expenses and Income","Investment Return Rate","0.029846044611871386","0.02667249985579053","0.027616823897519745"
"Expenses and Income","Investment Income","255310","327068","427526"
"Expenses and Income","Net Income","2946500","2841387","3190099"
"Reserves","Prior-Year Development","-206191","65496","55462"
"Reserves","Beginning Gross Reserve","8536780","8683557","8898983"
"Reserves","Current-Year Gross Reserve","3000626","3297243","3615093"
"Reserves","Gross Paid Losses","5060457","5214483","5505294"
"Reserves","Ending Gross Reserve","8683557","8898983","9363381"
"Reserves","Beginning RI Recoverable","803427","750762","497436"
"Reserves","Ending RI Recoverable","750762","497436","317269"
"Reserves","Expected Net Unpaid Loss","7932795","8401546","9046112"
"Reserves","Indicated Net Reserve at Confidence","10677542","11308481","12176067"
"Reserves","Reserve Risk Margin Needed","7544088","7989871","8602852"
"Balance Sheet and Surplus","Beginning Cash","2244234","1682050","1773900"
"Balance Sheet and Surplus","Ending Cash","1682050","1773900","1955523"
"Balance Sheet and Surplus","Beginning Investments","8554230","12262356","15480643"
"Balance Sheet and Surplus","Ending Investments","12262356","15480643","19133685"
"Balance Sheet and Surplus","Other Assets","286914","286914","286914"
"Balance Sheet and Surplus","Total Assets","14982082","18038894","21693392"
"Balance Sheet and Surplus","Unearned Premium","0","0","0"
"Balance Sheet and Surplus","Other Liabilities","132142","132142","132142"
"Balance Sheet and Surplus","Total Liabilities","8815699","9031125","9495523"
"Balance Sheet and Surplus","Beginning Surplus","3219883","6166383","9007770"
"Balance Sheet and Surplus","Surplus from Income","6166383","9007770","12197869"
"Balance Sheet and Surplus","Ending Surplus","6166383","9007770","12197869"
"Balance Sheet and Surplus","Surplus Tie-Out Difference","0","0","0"
"Inter-Line Loan","Loan Originated This Year","0","0","0"
"Inter-Line Loan","Loan Interest Accrued","0","0","0"
"Inter-Line Loan","Loan Repayment Applied","0","0","0"
"Inter-Line Loan","Outstanding Loan Balance","0","0","0"
"Ratios and Capital","Expected Loss Ratio","0.6684491978609626","0.6684491978609625","0.6684491978609624"
"Ratios and Capital","Expected Expense Ratio","0.3315508021390374","0.33155080213903754","0.33155080213903765"
"Ratios and Capital","Expected Combined Ratio","1","1","1"
"Ratios and Capital","Actual Loss Ratio","0.4305391856430058","0.4579218305015306","0.4586257934551836"
"Ratios and Capital","Actual Expense Ratio","0.3294687740591459","0.3294687740591459","0.3294687740591458"
"Ratios and Capital","Actual Combined Ratio","0.7600079597021516","0.7873906045606764","0.7880945675143294"
"Ratios and Capital","Surplus","6166383","9007770","12197869"
"Ratios and Capital","Excess Available Surplus","-1377705","1017899","3595016"
"Ratios and Capital","Excess Capital Ratio","-0.1826205239912824","0.12739867941209387","0.417886568809049"
"Ratios and Capital","Excess Capital Status","Deficient","Adequate","Strong"
