"Category","Metric","Year 1 / 2026","Year 2 / 2027","Year 3 / 2028"
"Year","Year Number","1","2","3"
"Year","Calendar Year","2026","2027","2028"
"Decisions","Rate Change","0","0","0"
"Decisions","Funding Confidence Level","0.75","0.75","0.75"
"Decisions","Selected CLF","1.346","1.346","1.346"
"Decisions","Dividend %","0","0","0"
"Decisions","Assessment %","0","0","0"
"Decisions","Underwriting Strictness","5","5","5"
"Decisions","Risk Control %","0","0","0"
"Decisions","Reinsurance Level","2","2","2"
"Decisions","Asset Allocation","Cash 10% / Bonds 80% / Equities 10%","Cash 10% / Bonds 80% / Equities 10%","Cash 10% / Bonds 80% / Equities 10%"
"Membership","Active Members","31","31","31"
"Membership","New Members","1","1","2"
"Membership","Withdrawn Members","1","1","2"
"Membership","Member Retention Rate","0.968","0.968","0.935"
"Membership","Member Satisfaction","7.1","7.1","7.1"
"Membership","Average Risk Quality","5.6","5.6","5.5"
"Membership","Active Payroll Exposure ($M)","59.92","58.89","61.22"
"Membership","Total Market Payroll ($M)","271.96","271.96","271.96"
"Membership","Market Share","0.22032651860567734","0.2165391969407266","0.22510663332843067"
"Rate and Premium","Rate Level Index","100","100","100"
"Rate and Premium","Pure Premium Rate per $100 Payroll","7.9555","8.398","8.8652"
"Rate and Premium","Pool Premium Rate at Selected CLF","10.708046977052797","11.303720092489177","11.932529638986615"
"Rate and Premium","Gross Premium & Admin Expense Rate per $100","15.8098","16.6893","17.6177"
"Rate and Premium","Written Payroll ($M)","59.92","58.89","61.22"
"Rate and Premium","Pure Premium","4766911","4945587","5427262"
"Rate and Premium","Pool Premium at Selected CLF","6416262","6656761","7305095"
"Rate and Premium","Admin Expense","715037","741838","814089"
"Rate and Premium","Gross Premium & Admin Expense","9473234","9828317","10785543"
"Rate and Premium","Assessments","0","0","0"
"Rate and Premium","Dividends / Returned Pool Premium","0","0","0"
"Losses","Pure Premium","4766911","4945587","5427262"
"Losses","Pool Premium at Selected CLF","6416262","6656761","7305095"
"Losses","Member-Level Simulated Loss incl. Shared Events","3425822","4571007","5402915"
"Losses","Shared Annual Loss Factor","1.1049503865330403","1.1103116094116727","1.0060010545881324"
"Losses","Catastrophe Factor","1","1","1"
"Losses","Shock Uplift (included in simulated loss)","0","0","0"
"Losses","Gross Ultimate Loss + LAE","3425822","4571007","5402915"
"Losses","Shock Loss Incurred","No","No","No"
"Losses","Reinsurance Recovery","0","0","0"
"Losses","Net Ultimate Loss + LAE","3425822","4571007","5402915"
"Expenses and Income","Operating Expense","715037","741838","814089"
"Expenses and Income","Risk Control Investment","0","0","0"
"Expenses and Income","Reinsurance Cost","2406098","2496285","2739410"
"Expenses and Income","Invested Assets","8554230","12445757","15370397"
"Expenses and Income","Investment Return Rate","0.029846044611871386","0.02667249985579053","0.027616823897519745"
"Expenses and Income","Investment Income","255310","331959","424482"
"Expenses and Income","Net Income","3040591","2389132","2242535"
"Reserves","Prior-Year Development","-158436","22488","-4564"
"Reserves","Beginning Gross Reserve","6804557","6581438","7005922"
"Reserves","Current-Year Gross Reserve","2055493","2742604","3241749"
"Reserves","Gross Paid Losses","3807376","4124035","4614836"
"Reserves","Ending Gross Reserve","6581438","7005922","7798565"
"Reserves","Beginning RI Recoverable","748978","498171","333885"
"Reserves","Ending RI Recoverable","498171","333885","212794"
"Reserves","Expected Net Unpaid Loss","6083267","6672037","7585771"
"Reserves","Indicated Net Reserve at Confidence","8188077","8980561","10210448"
"Reserves","Reserve Risk Margin Needed","5785187","6345107","7214069"
"Balance Sheet and Surplus","Beginning Cash","2244234","1420985","1474247"
"Balance Sheet and Surplus","Ending Cash","1420985","1474247","1617832"
"Balance Sheet and Surplus","Beginning Investments","8554230","12445757","15370397"
"Balance Sheet and Surplus","Ending Investments","12445757","15370397","18383083"
"Balance Sheet and Surplus","Other Assets","286914","286914","286914"
"Balance Sheet and Surplus","Total Assets","14651828","17465443","20500622"
"Balance Sheet and Surplus","Unearned Premium","0","0","0"
"Balance Sheet and Surplus","Other Liabilities","132142","132142","132142"
"Balance Sheet and Surplus","Total Liabilities","6713580","7138064","7930707"
"Balance Sheet and Surplus","Beginning Surplus","4897657","7938248","10327380"
"Balance Sheet and Surplus","Surplus from Income","7938248","10327380","12569915"
"Balance Sheet and Surplus","Ending Surplus","7938248","10327380","12569915"
"Balance Sheet and Surplus","Surplus Tie-Out Difference","0","0","0"
"Ratios and Capital","Expected Loss Ratio","0.6684491978609625","0.6684491978609625","0.6684491978609624"
"Ratios and Capital","Expected Expense Ratio","0.33155080213903754","0.33155080213903754","0.33155080213903765"
"Ratios and Capital","Expected Combined Ratio","1","1","1"
"Ratios and Capital","Actual Loss Ratio","0.3765153838826438","0.4612204813692387","0.5019672664767804"
"Ratios and Capital","Actual Expense Ratio","0.3294687740591459","0.3294687740591458","0.3294687740591459"
"Ratios and Capital","Actual Combined Ratio","0.7059841579417896","0.7906892554283845","0.8314360405359262"
"Ratios and Capital","Surplus","7938248","10327380","12569915"
"Ratios and Capital","Excess Available Surplus","2153061","3982273","5355846"
"Ratios and Capital","Excess Capital Ratio","0.37216793284075755","0.627613163262265","0.7424168830075021"
"Ratios and Capital","Excess Capital Status","Strong","Strong","Strong"
