ID,Name,Type,Payroll ($M),Risk Quality,WC_clerical,WC_pubworks,WC_police,WC_fire,GL_gen,GL_epl,GL_lawenf,GL_abuse
member-001,Brookhaven School District 001,School District,8.551,5.5,5.9857,2.3943,0.171,0.0,0.9,1.1,0.1,1.8
member-002,Summit County 002,County,8.769,8.3,3.9461,2.1923,1.7538,0.8769,1.0,1.1,1.0,0.8
member-003,Ridgeway City 003,City,3.117,3.8,1.0909,0.9351,0.6857,0.4052,1.1,1.0,1.0,0.6
member-004,Summit Fire District 004,Fire District,1.47,3.5,0.1176,0.0588,0.0,1.2936,0.9,0.9,0.05,0.2
member-005,Northvale Water District 005,Water District,1.736,6.2,0.5208,1.2152,0.0,0.0,0.8,1.2,0.0,0.1
member-006,Clearwater Park District 006,Park District,6.626,6.8,1.9878,4.6382,0.0,0.0,1.0,0.8,0.05,1.6
member-007,Eastbrook County 007,County,6.386,6.2,2.8737,1.5965,1.2772,0.6386,1.0,1.1,1.0,0.8
member-008,Clearwater Water District 008,Water District,2.041,7.4,0.6123,1.4287,0.0,0.0,0.8,1.2,0.0,0.1
member-009,Glenmoor Recreation District 009,Recreation District,3.513,1.6,1.5809,1.9322,0.0,0.0,1.0,0.8,0.05,1.9
member-010,Cedar Falls City 010,City,2.686,5.1,0.9401,0.8058,0.5909,0.3492,1.1,1.0,1.0,0.6
member-011,Brookhaven School District 011,School District,3.341,4.4,2.3387,0.9355,0.0668,0.0,0.9,1.1,0.1,1.8
member-012,Westfield Park District 012,Park District,26.348,5.7,7.9044,18.4436,0.0,0.0,1.0,0.8,0.05,1.6
member-013,Lakeside Water District 013,Water District,0.698,7.0,0.2094,0.4886,0.0,0.0,0.8,1.2,0.0,0.1
member-014,Eastbrook Water District 014,Water District,4.021,7.6,1.2063,2.8147,0.0,0.0,0.8,1.2,0.0,0.1
member-015,Lakeside School District 015,School District,8.337,8.9,5.8359,2.3344,0.1667,0.0,0.9,1.1,0.1,1.8
member-016,Summit Transit Authority 016,Transit Authority,2.74,7.3,0.685,2.055,0.0,0.0,1.6,1.0,0.1,0.3
member-017,Southgate County 017,County,1.956,9.2,0.8802,0.489,0.3912,0.1956,1.0,1.1,1.0,0.8
member-018,Clearwater County 018,County,6.292,6.9,2.8314,1.573,1.2584,0.6292,1.0,1.1,1.0,0.8
member-019,Maplewood City 019,City,10.671,2.9,3.7348,3.2013,2.3476,1.3872,1.1,1.0,1.0,0.6
member-020,Pinecrest County 020,County,0.762,6.6,0.3429,0.1905,0.1524,0.0762,1.0,1.1,1.0,0.8
member-021,Summit County 021,County,7.287,8.8,3.2792,1.8217,1.4574,0.7287,1.0,1.1,1.0,0.8
member-022,Glenmoor Fire District 022,Fire District,0.761,3.2,0.0609,0.0304,0.0,0.6697,0.9,0.9,0.05,0.2
member-023,Riverton Water District 023,Water District,5.439,5.6,1.6317,3.8073,0.0,0.0,0.8,1.2,0.0,0.1
member-024,Lakeside City 024,City,5.856,3.8,2.0496,1.7568,1.2883,0.7613,1.1,1.0,1.0,0.6
member-025,Glenmoor Recreation District 025,Recreation District,2.967,4.6,1.3352,1.6319,0.0,0.0,1.0,0.8,0.05,1.9
member-026,Summit School District 026,School District,1.65,5.6,1.155,0.462,0.033,0.0,0.9,1.1,0.1,1.8
member-027,Summit Recreation District 027,Recreation District,21.691,4.4,9.7609,11.93,0.0,0.0,1.0,0.8,0.05,1.9
member-028,Stonehill Park District 028,Park District,4.214,5.0,1.2642,2.9498,0.0,0.0,1.0,0.8,0.05,1.6
member-029,Clearwater Water District 029,Water District,0.428,7.4,0.1284,0.2996,0.0,0.0,0.8,1.2,0.0,0.1
member-030,Westfield Special District 030,Special District,4.615,5.5,2.3075,2.3075,0.0,0.0,0.9,1.0,0.05,0.4
member-031,Valley Recreation District 031,Recreation District,2.652,7.1,1.1934,1.4586,0.0,0.0,1.0,0.8,0.05,1.9
member-032,Oakdale County 032,County,2.522,7.3,1.1349,0.6305,0.5044,0.2522,1.0,1.1,1.0,0.8
member-033,Westfield Special District 033,Special District,1.663,6.0,0.8315,0.8315,0.0,0.0,0.9,1.0,0.05,0.4
member-034,Stonehill Special District 034,Special District,16.326,5.4,8.163,8.163,0.0,0.0,0.9,1.0,0.05,0.4
member-035,Eastbrook Fire District 035,Fire District,3.593,5.6,0.2874,0.1437,0.0,3.1618,0.9,0.9,0.05,0.2
member-036,Summit City 036,City,2.686,3.7,0.9401,0.8058,0.5909,0.3492,1.1,1.0,1.0,0.6
member-037,Summit Park District 037,Park District,8.257,6.7,2.4771,5.7799,0.0,0.0,1.0,0.8,0.05,1.6
