ID,Name,Type,Payroll ($M),Risk Quality,Region,TIV ($M),WC_clerical,WC_pubworks,WC_police,WC_fire,GL_gen,GL_epl,GL_lawenf,GL_abuse
member-001,Brookhaven School District 001,School District,5.54,5.5,North,10.889,3.878,1.5512,0.1108,0.0,0.9,1.1,0.1,1.8
member-002,Summit County 002,County,32.282,8.3,North,127.066,14.5269,8.0705,6.4564,3.2282,1.0,1.1,1.0,0.8
member-003,Ridgeway City 003,City,4.246,3.8,North,16.5,1.4861,1.2738,0.9341,0.552,1.1,1.0,1.0,0.6
member-004,Summit Fire District 004,Fire District,0.952,3.5,South,3.634,0.0762,0.0381,0.0,0.8378,0.9,0.9,0.05,0.2
member-005,Northvale Water District 005,Water District,1.125,6.2,South,16.756,0.3375,0.7875,0.0,0.0,0.8,1.2,0.0,0.1
member-006,Clearwater Park District 006,Park District,4.293,6.8,South,13.877,1.2879,3.0051,0.0,0.0,1.0,0.8,0.05,1.6
member-007,Eastbrook County 007,County,23.509,6.2,Central,36.788,10.5791,5.8773,4.7018,2.3509,1.0,1.1,1.0,0.8
member-008,Clearwater Water District 008,Water District,1.322,7.4,South,8.064,0.3966,0.9254,0.0,0.0,0.8,1.2,0.0,0.1
member-009,Glenmoor Recreation District 009,Recreation District,2.276,1.6,North,4.947,1.0242,1.2518,0.0,0.0,1.0,0.8,0.05,1.9
member-010,Cedar Falls City 010,City,3.659,5.1,North,4.454,1.2806,1.0977,0.805,0.4757,1.1,1.0,1.0,0.6
member-011,Brookhaven School District 011,School District,2.165,4.4,North,7.328,1.5155,0.6062,0.0433,0.0,0.9,1.1,0.1,1.8
member-012,Westfield Park District 012,Park District,17.071,5.7,South,62.452,5.1213,11.9497,0.0,0.0,1.0,0.8,0.05,1.6
member-013,Lakeside Water District 013,Water District,0.452,7.0,South,3.102,0.1356,0.3164,0.0,0.0,0.8,1.2,0.0,0.1
member-014,Eastbrook Water District 014,Water District,2.605,7.6,South,22.315,0.7815,1.8235,0.0,0.0,0.8,1.2,0.0,0.1
member-015,Lakeside School District 015,School District,5.402,8.9,South,18.264,3.7814,1.5126,0.108,0.0,0.9,1.1,0.1,1.8
member-016,Summit Transit Authority 016,Transit Authority,1.775,7.3,Central,11.59,0.4437,1.3312,0.0,0.0,1.6,1.0,0.1,0.3
member-017,Southgate County 017,County,7.201,9.2,North,23.78,3.2405,1.8002,1.4402,0.7201,1.0,1.1,1.0,0.8
member-018,Clearwater County 018,County,23.163,6.9,South,50.168,10.4234,5.7908,4.6326,2.3163,1.0,1.1,1.0,0.8
member-019,Maplewood City 019,City,14.538,2.9,South,27.609,5.0883,4.3614,3.1984,1.8899,1.1,1.0,1.0,0.6
member-020,Pinecrest County 020,County,2.805,6.6,South,8.089,1.2623,0.7013,0.561,0.2805,1.0,1.1,1.0,0.8
member-021,Summit County 021,County,26.826,8.8,North,81.059,12.0717,6.7065,5.3652,2.6826,1.0,1.1,1.0,0.8
member-022,Glenmoor Fire District 022,Fire District,0.493,3.2,North,1.548,0.0394,0.0197,0.0,0.4338,0.9,0.9,0.05,0.2
member-023,Riverton Water District 023,Water District,3.524,5.6,Central,31.09,1.0572,2.4668,0.0,0.0,0.8,1.2,0.0,0.1
member-024,Lakeside City 024,City,7.978,3.8,North,18.791,2.7923,2.3934,1.7552,1.0371,1.1,1.0,1.0,0.6
member-025,Glenmoor Recreation District 025,Recreation District,1.922,4.6,North,5.307,0.8649,1.0571,0.0,0.0,1.0,0.8,0.05,1.9
member-026,Summit School District 026,School District,1.069,5.6,South,4.65,0.7483,0.2993,0.0214,0.0,0.9,1.1,0.1,1.8
member-027,Summit Recreation District 027,Recreation District,14.054,4.4,South,102.18,6.3243,7.7297,0.0,0.0,1.0,0.8,0.05,1.9
