ID,Name,Type,Payroll ($M),Risk Quality,Region,TIV ($M),Locations,Primary Asset Share,WC_clerical,WC_pubworks,WC_police,WC_fire,GL_gen,GL_epl,GL_lawenf,GL_abuse
member-001,Brookhaven School District 001,School District,5.462,3.9,North,13.866,8,0.222,3.8234,1.5294,0.1092,0.0,0.9,1.1,0.1,1.8
member-002,Summit County 002,County,32.282,6.6,Central,217.093,14,0.324,14.5269,8.0705,6.4564,3.2282,1.0,1.1,1.0,0.8
member-003,Ridgeway City 003,City,4.246,8.0,Central,19.511,8,0.28,1.4861,1.2738,0.9341,0.552,1.1,1.0,1.0,0.6
member-004,Summit Fire District 004,Fire District,0.939,5.6,North,2.486,5,0.388,0.0751,0.0376,0.0,0.8263,0.9,0.9,0.05,0.2
member-005,Northvale Water District 005,Water District,1.553,7.8,North,14.258,3,0.661,0.4659,1.0871,0.0,0.0,0.8,1.2,0.0,0.1
member-006,Clearwater Park District 006,Park District,4.233,3.4,Central,21.452,12,0.268,1.2699,2.9631,0.0,0.0,1.0,0.8,0.05,1.6
member-007,Eastbrook County 007,County,23.509,1.7,North,114.866,20,0.343,10.5791,5.8773,4.7018,2.3509,1.0,1.1,1.0,0.8
member-008,Clearwater Water District 008,Water District,1.825,3.1,South,12.584,6,0.62,0.5475,1.2775,0.0,0.0,0.8,1.2,0.0,0.1
member-009,Glenmoor Recreation District 009,Recreation District,2.244,3.5,Central,5.281,6,0.373,1.0098,1.2342,0.0,0.0,1.0,0.8,0.05,1.9
member-010,Cedar Falls City 010,City,3.659,1.9,South,17.569,9,0.252,1.2806,1.0977,0.805,0.4757,1.1,1.0,1.0,0.6
member-011,Brookhaven School District 011,School District,2.135,6.7,North,4.056,5,0.25,1.4945,0.5978,0.0427,0.0,0.9,1.1,0.1,1.8
member-012,Westfield Park District 012,Park District,16.832,4.1,North,62.502,11,0.246,5.0496,11.7824,0.0,0.0,1.0,0.8,0.05,1.6
member-013,Lakeside Water District 013,Water District,0.966,3.7,Central,12.449,4,0.679,0.2898,0.6762,0.0,0.0,0.8,1.2,0.0,0.1
